名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
上海南汇嘴大堤豪华酒店,酒店住宿,其他,121.97189,30.881739,上海市,上海市,浦东新区,121.96771809892256,30.8840427209279
南汇嘴观海生态公园,旅游景点,公园,121.971697,30.88122,上海市,上海市,浦东新区,121.96752567301013,30.883524553053547
南汇嘴观海公园,交通设施,公交站,121.971778,30.882131,上海市,上海市,浦东新区,121.96760637535644,30.884434796344625
智选假日豪华酒店,酒店住宿,四星级酒店,121.971603,30.881782,上海市,上海市,浦东新区,121.96743188545972,30.884086479009156
专用停车场,交通设施,停车场,121.970921,30.880284,上海市,上海市,浦东新区,121.96675187690103,30.882591213481152
WWF自然学堂,科教文化,其他,121.96775,30.918754,上海市,上海市,浦东新区,121.9635862442969,30.921046919265212
南汇嘴观海公园北停车场,交通设施,停车场,121.972517,30.882937,上海市,上海市,浦东新区,121.96834326716136,30.88523829850028
南汇嘴观海公园南停车场,交通设施,停车场,121.971337,30.881022,上海市,上海市,浦东新区,121.96716667807208,30.883327650177893
申能集团临港海上风电,公司企业,公司,121.97478,30.897751,上海市,上海市,浦东新区,121.97059871161922,30.900037286166203
海港酒店,餐饮美食,中国菜,121.890146,31.005477,上海市,上海市,浦东新区,121.886049398217,31.007809163715446
葵园,交通设施,公交站,121.887884,30.97938,上海市,上海市,浦东新区,121.88378722764791,30.981726475789714
通源路南滨支路,交通设施,公交站,121.88868,31.005588,上海市,上海市,浦东新区,121.8845819294414,31.007919332116494
专用停车场,交通设施,停车场,121.917469,31.005644,上海市,上海市,浦东新区,121.91338007876037,31.00797338147602
恋海酒店,酒店住宿,旅馆,121.888699,31.005499,上海市,上海市,浦东新区,121.88460095624399,31.007830395385803
专用停车场,交通设施,停车场,121.890247,31.005466,上海市,上海市,浦东新区,121.88615049598447,31.007798219782142
滨海大酒店,酒店住宿,其他,121.889838,31.005299,上海市,上海市,浦东新区,121.88574111433928,31.007631115651645
黄金海滨度假村-鱼池,运动健身,其他,121.895037,31.006922,上海市,上海市,浦东新区,121.8909444143735,31.009255221231257
公厕,生活服务,公厕,121.888008,31.006282,上海市,上海市,浦东新区,121.88390917049136,31.008612540531168
滨海馨园,商务住宅,住宅区,121.887047,31.006836,上海市,上海市,浦东新区,121.88294708479866,31.009165637272993
港凯广场,商务住宅,商住两用楼宇,121.892134,31.005118,上海市,上海市,浦东新区,121.88803924565022,31.007451274823566
孔雀园,旅游景点,其他,121.889004,30.977874,上海市,上海市,浦东新区,121.88490851539517,30.980222003240026
滨海世外桃源,旅游景点,景点,121.889174,31.017751,上海市,上海市,浦东新区,121.88507544226964,31.02007540013369
家春酒店,酒店住宿,其他,121.887115,31.005771,上海市,上海市,浦东新区,121.88301524652844,31.008101310687852
上海雅居乐米克尔森俱乐部,运动健身,高尔夫球,121.904135,30.98886,上海市,上海市,浦东新区,121.90004844100342,30.991204796675216
专用停车场,交通设施,停车场,121.889446,31.005504,上海市,上海市,浦东新区,121.88534871150095,31.007835792923125
中国移动营业厅,购物消费,家电数码,121.888146,31.005582,上海市,上海市,浦东新区,121.88404737342913,31.007913035187794
中国移动营业厅,生活服务,电讯营业厅,121.888184,31.005574,上海市,上海市,浦东新区,121.8840854141161,31.007905061693833
滨海高尔夫国际俱乐部仙湖球场,运动健身,高尔夫球,121.904274,30.989024,上海市,上海市,浦东新区,121.90018746484814,30.991368683617182
滨海高尔夫豪华酒店,酒店住宿,其他,121.896611,30.986166,上海市,上海市,浦东新区,121.89252118620215,30.98851196383324
上海一家春酒店,酒店住宿,旅馆,121.887175,31.00583,上海市,上海市,浦东新区,121.88307530774227,31.008160312493718
白玉兰滨海度假村专用停车场,交通设施,停车场,121.892973,31.005183,上海市,上海市,浦东新区,121.8888789512948,31.007516566262908
新华酒店,酒店住宿,旅馆,121.887743,31.005784,上海市,上海市,浦东新区,121.88364392830954,31.008114681045125
凯源酒店,酒店住宿,旅馆,121.887272,31.005738,上海市,上海市,浦东新区,121.88317242161364,31.00806842624586
中国联通营业厅,生活服务,电讯营业厅,121.888251,31.005456,上海市,上海市,浦东新区,121.88415249414925,31.007787169911367
朝梅小吃,餐饮美食,中国菜,121.888792,31.00545,上海市,上海市,浦东新区,121.8846940557223,31.007781475539176
淮南牛肉粉丝汤,餐饮美食,中国菜,121.888777,31.005488,上海市,上海市,浦东新区,121.88467903725466,31.00781944478295
葵园农家菜馆停车场,交通设施,停车场,121.887694,30.979151,上海市,上海市,浦东新区,121.8835970428624,30.98149750075087
华联超市,购物消费,超市,121.887934,31.00703,上海市,上海市,浦东新区,121.88383503097047,31.009360054068736
浦东农耕文旅体验示范基地,旅游景点,其他,121.887442,31.013944,上海市,上海市,浦东新区,121.88334193883814,31.01626966855492
世外桃源烧烤基地,餐饮美食,中国菜,121.888691,31.017216,上海市,上海市,浦东新区,121.88459199403795,31.019540454483028
上海冠傲马术国际俱乐部,运动健身,其他,121.889701,31.01515,上海市,上海市,浦东新区,121.88560317827813,31.017476211956645
小鲁蔬菜店,购物消费,市场,121.887016,31.005825,上海市,上海市,浦东新区,121.88291613284468,31.00815521763283
上海浦东葵园文化美术馆,科教文化,其他,121.887906,30.979662,上海市,上海市,浦东新区,121.88380922815821,30.98200832038472
兰州拉面,餐饮美食,中国菜,121.889244,31.005516,上海市,上海市,浦东新区,121.88514650873915,31.007847679728197
雅居乐滨海高尔夫球会练习场,运动健身,其他,121.904034,30.987593,上海市,上海市,浦东新区,121.89994751632925,30.989938562094427
学生国防教育基地,科教文化,其他,121.8862,31.007384,上海市,上海市,浦东新区,121.88209908816042,31.009712775480107
沧海桑田生态农业发展有限责任公司,公司企业,公司,121.917049,31.005796,上海市,上海市,浦东新区,121.91296023944365,31.008125585502643
百果农场,运动健身,其他,121.887217,30.979889,上海市,上海市,浦东新区,121.88311946488753,30.9822347737853
农家农家菜馆,餐饮美食,中国菜,121.88946,31.00535,上海市,上海市,浦东新区,121.88536273795015,31.007681891559674
猎鹰军事训练拓展基地,运动健身,露营地,121.88822,30.977957,上海市,上海市,浦东新区,121.88412369903348,30.9803045187973
宏云早点,餐饮美食,其他,121.888836,31.005508,上海市,上海市,浦东新区,121.8847380960395,31.007839465186578
京东快递,生活服务,物流,121.889863,31.005762,上海市,上海市,浦东新区,121.88576610103942,31.008093853644596
安徽水产店,购物消费,市场,121.890077,31.005423,上海市,上海市,浦东新区,121.88598033615675,31.007755161660782
品牌电动车专卖,购物消费,其他,121.886874,31.005808,上海市,上海市,浦东新区,121.88277397669496,31.0081381395023
华泰滨海药房,医疗保健,医药销售,121.888154,31.006562,上海市,上海市,浦东新区,121.88405530208381,31.00889245859762
友好烟酒专卖店,购物消费,其他,121.888032,31.006886,上海市,上海市,浦东新区,121.88393314676553,31.009216196276586
小胖水果蔬菜生鲜超级市场,购物消费,市场,121.889691,31.005635,上海市,上海市,浦东新区,121.88559394302554,31.007966841661176
老李水果店,购物消费,市场,121.888352,31.006346,上海市,上海市,浦东新区,121.88425352747427,31.008676699366593
叶辛文学馆,科教文化,其他,121.887818,30.979394,上海市,上海市,浦东新区,121.8837211560384,30.981740428811325
猎鹰军事训练拓展基地,科教文化,培训单位,121.888375,30.979289,上海市,上海市,浦东新区,121.88427875302449,30.98163581196608
猎鹰训练基地,科教文化,培训单位,121.888106,30.979548,上海市,上海市,浦东新区,121.88400944955495,30.98189450420569
洋河蓝色经典,购物消费,其他,121.889514,31.005277,上海市,上海市,浦东新区,121.885416797477,31.00760896290808
滨海居委老年活动中心,休闲娱乐,其他,121.887174,31.006991,上海市,上海市,浦东新区,121.8830742121164,31.00932062343877
葵园红色革命教育基地,科教文化,培训单位,121.888231,30.979814,上海市,上海市,浦东新区,121.88413455956544,30.982160417081296
上海雪豹训练基地,科教文化,培训单位,121.888259,30.979665,上海市,上海市,浦东新区,121.88416260107317,30.982011521917574
滨海国防教育基地,科教文化,培训单位,121.886016,31.006895,上海市,上海市,浦东新区,121.88191491687819,31.009223945008618
丰巢快递,生活服务,物流,121.889859,31.005396,上海市,上海市,浦东新区,121.88576212692868,31.007728068712794
乐农超级市场,购物消费,便利店,121.889433,30.979227,上海市,上海市,浦东新区,121.88533783633304,30.9815744234159
建明烟糖,购物消费,便利店,121.887519,31.005786,上海市,上海市,浦东新区,121.88341968665438,31.008116546806175
党英汽配店,汽车相关,汽车配件,121.886467,31.005772,上海市,上海市,浦东新区,121.88236652303193,31.00810190360565
平衡态立体健康空间,医疗保健,其他,121.88811,31.00665,上海市,上海市,浦东新区,121.88401124849533,31.008980381163905
滨海衡玉烟糖铺,购物消费,便利店,121.888509,31.005463,上海市,上海市,浦东新区,121.88441076284414,31.007794311281323
源萍烟糖铺,购物消费,便利店,121.886792,31.005815,上海市,上海市,浦东新区,121.88269188473741,31.00814508404775
黄金海滨度假村专用停车场,交通设施,停车场,121.893764,31.006375,上海市,上海市,浦东新区,121.88967049360534,31.008708143484316
悦海国际,商务住宅,住宅区,121.891219,31.004908,上海市,上海市,浦东新区,121.88712344912012,31.00724100622082
